year,make,model,trim,body,transmission,vin,state,condition,odometer,color,mmr,sellingprice
2015,Volvo,S60,T5,Sedan,automatic,yv1612tb4f1310987,ca,41,14282,white,27500,27750
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1fn326013,ca,1,5554,gray,15350,10900
2015,Kia,Optima,LX,Sedan,automatic,5xxgm4a73fg353538,ca,48,2034,red,15150,17700
2015,Ford,Fusion,SE,Sedan,automatic,3fa6p0hdxfr145753,ca,2,5559,white,15350,12000
2015,Kia,Sorento,LX,SUV,automatic,5xyktca66fg561407,ca,5,14634,silver,20600,21500
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap5fc124223,ca,2,11398,black,14750,14100
2015,Chevrolet,Impala,LTZ,Sedan,automatic,2g1165s30f9103921,ca,19,14538,silver,24300,7200
2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,wauacgff7f1002327,ca,49,5826,gray,24000,23750
2015,Volvo,XC70,T6,Wagon,automatic,yv4902nb3f1198103,ca,42,16506,brown,32100,32500
2015,Volvo,XC70,T6,Wagon,automatic,yv4902nb3f1196951,ca,48,12725,beige,32300,32500
2015,Kia,Sorento,LX,SUV,automatic,5xyktca60fg565226,ca,5,13757,red,20600,20750
2015,Kia,Sorento,LX,SUV,automatic,5xyktca68fg559481,ca,44,12862,gray,20700,21000
2015,Chevrolet,Suburban,LTZ,SUV,automatic,1gnskkkc3fr187901,ca,45,11426,black,57300,59900
2015,Volvo,V60,T5,Wagon,automatic,yv1612sb9f1202043,ca,41,11846,white,31300,30000
2015,Volvo,V60,T5,Wagon,automatic,yv1612sb1f1201503,ca,42,12242,black,31200,30000
2015,Kia,Sorento,LX,SUV,automatic,5xyktca67fg570973,ca,5,13878,silver,20600,20750
2015,Volvo,V60,T5,Wagon,automatic,yv1612sbxf1202276,ca,37,10906,silver,31500,30000
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1fn331213,ca,1,4314,black,15500,11500
2015,Kia,K900,Luxury,Sedan,automatic,knalw4d42f6019667,ca,42,5304,blue,39500,40000
2015,Kia,Sorento,LX,SUV,automatic,5xyktca63fg570727,ca,48,10357,silver,20700,20500
2015,Chevrolet,Malibu,LT,Sedan,automatic,1g11d5sl6fu106427,ca,1,6105,silver,16600,9800
2015,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba7fc155782,ca,43,7770,white,41200,38400
2015,Kia,Sorento,LX,SUV,automatic,5xykt3a62fg579841,ca,5,5214,white,19400,19300
